match_time_ms,prev_cvd,curr_cvd,delta_usd,increase_pct,source,symbol,match_time_iso
1788278399999,-280371082.1603,-247401455.6500001,32969626.51029992,0.0,F4_cvd_surge,SNDKUSDT,2026-09-01T15:59:59.999000Z
1788292799999,24391589.773700006,45528523.896000005,21136934.1223,86.65664812504633,F4_cvd_surge,CLUSDT,2026-09-01T19:59:59.999000Z
1788292799999,26136846.710500017,38786336.699300006,12649489.98879999,48.397154136111915,F4_cvd_surge,BZUSDT,2026-09-01T19:59:59.999000Z
1788278399999,22999217.542145986,27439618.11577099,4440400.573625002,19.306746264250005,F4_cvd_surge,龙虾USDT,2026-09-01T15:59:59.999000Z
1788292799999,9822274.274460003,13302216.680460002,3479942.4059999995,35.42909013494551,F4_cvd_surge,TRXUSDT,2026-09-01T19:59:59.999000Z
1788307199999,2528035.560199989,5315871.839999987,2787836.279799998,110.27678264064673,F4_cvd_surge,UAIUSDT,2026-09-01T23:59:59.999000Z
1788235199999,10629223.127370032,12588156.321104022,1958933.1937339902,18.429693028926803,F4_cvd_surge,SKRUSDT,2026-09-01T03:59:59.999000Z
1788278399999,5962076.628699981,7069006.119599976,1106929.490899995,18.566173496856898,F4_cvd_surge,QQQUSDT,2026-09-01T15:59:59.999000Z
1788307199999,5385162.102899999,6112595.6908,727433.5879000006,13.508109393926427,F4_cvd_surge,PLTRUSDT,2026-09-01T23:59:59.999000Z
1788263999999,3294991.8295999994,3894263.633599999,599271.8039999995,18.187353261897137,F4_cvd_surge,NATGASUSDT,2026-09-01T11:59:59.999000Z
1788235199999,965947.9571799997,1136040.1011599998,170092.14398000017,17.608831067521407,F4_cvd_surge,CXMTUSDT,2026-09-01T03:59:59.999000Z
1788292799999,318635.4315999999,476205.56109999993,157570.12950000004,49.45154049842337,F4_cvd_surge,CVXUSDT,2026-09-01T19:59:59.999000Z
1788307199999,383260.8918900008,437673.5350800008,54412.64319000003,14.197285541363541,F4_cvd_surge,SKYUSDT,2026-09-01T23:59:59.999000Z
1788235199999,133446.40365900032,158188.97865100033,24742.57499200001,18.54120779097612,F4_cvd_surge,AGTUSDT,2026-09-01T03:59:59.999000Z
